Bin,House Number,Street Name,Zip,Community Board,Borough Name,Block,Lot,LONGITUDE_POINT_X,LATITUDE_POINT_Y
3181705,1857,CONEY ISLAND AVENUE,11230,314,Brooklyn,6758,86,-73.96240234,40.61203003
3182290,1614,EAST 12 STREET,11229,315,Brooklyn,6774,12,-73.96157837,40.60961151
3183833,1112,AVENUE R,11223,315,Brooklyn,6817,4,-73.96122742,40.60515976
3186102,122,BAY   38 STREET,11214,311,Brooklyn,6877,64,-73.99072266,40.59603882
3188683,2802,WEST   36 STREET,11224,313,Brooklyn,7004,11,-74.0022583,40.57674026
3188690,2832,WEST   36 STREET,11224,313,Brooklyn,7004,21,-74.00232697,40.57616043
3188691,2836,WEST   36 STREET,11224,313,Brooklyn,7004,22,-74.00231171,40.57609177
3188694,2844,WEST   36 STREET,11224,313,Brooklyn,7004,25,-74.00227356,40.57588959
3188725,2842,WEST   35 STREET,11224,313,Brooklyn,7005,22,-74.00122833,40.57606125
3188867,2803,MERMAID AVENUE,11224,313,Brooklyn,7011,44,-73.99458313,40.57579041
3189039,2846,WEST   17 STREET,11224,313,Brooklyn,7020,27,-73.98531342,40.57772064
3189046,2862,WEST   17 STREET,11224,313,Brooklyn,7020,34,-73.98523712,40.57733917
3189558,1904,MERMAID AVENUE,11224,313,Brooklyn,7060,11,-73.98600769,40.57624817
3189602,1412,MERMAID AVENUE,11224,313,Brooklyn,7064,2,-73.98197174,40.57670975
3189915,110,AVENUE S,11223,311,Brooklyn,7079,5,-73.98165894,40.60054016
3189959,1983,WEST   10 STREET,11223,311,Brooklyn,7079,51,-73.98150635,40.59878922
3190174,169,AVENUE T,11223,311,Brooklyn,7082,52,-73.97884369,40.59891129
3190528,1942,EAST 8 STREET,11223,315,Brooklyn,7089,26,-73.96404266,40.60163879
3190539,1984,EAST 8 STREET,11223,315,Brooklyn,7089,42,-73.96385956,40.60074997
3192620,2151,WEST    5 STREET,11223,315,Brooklyn,7122,64,-73.9759903,40.59540939
3192866,420,AVENUE U,11223,315,Brooklyn,7130,2,-73.96843719,40.59730148
3193094,2102,EAST 8 STREET,11223,315,Brooklyn,7134,12,-73.96311951,40.59783936
3193186,902,AVENUE U,11223,315,Brooklyn,7136,1,-73.96192169,40.5979805
3196431,225,NEPTUNE AVENUE,11235,313,Brooklyn,7263,3,-73.96170044,40.58184052
3196537,714,BANNER AVENUE,11235,313,Brooklyn,7264,45,-73.96077728,40.5831604
3199767,2622,OCEAN AVENUE,11229,315,Brooklyn,7352,39,-73.95143127,40.5974617
3199860,2113,AVENUE V,11229,315,Brooklyn,7354,36,-73.94937897,40.59767914
3204985,1721,VOORHIES AVENUE,11235,315,Brooklyn,7462,40,-73.95124817,40.58623886
3205707,1287,OCEAN AVENUE,11230,314,Brooklyn,7548,6,-73.95697784,40.63082123
3205715,2004,GLENWOOD ROAD,11210,314,Brooklyn,7548,43,-73.95733643,40.63275146
3206522,1755,BROOKLYN AVENUE,11210,318,Brooklyn,7582,13,-73.94125366,40.63024139
3217127,3813,KINGS HIGHWAY,11234,318,Brooklyn,7815,14,-73.93786621,40.62231064
3217542,1495,EAST   46 STREET,11234,318,Brooklyn,7826,20,-73.93102264,40.62432098
3224089,644,EAST   89 STREET,11236,318,Brooklyn,7993,59,-73.90937805,40.64176178
3224132,1106,REMSEN AVENUE,11236,318,Brooklyn,7994,58,-73.90843201,40.64191055
3228697,903,EAST 95 STREET,11236,318,Brooklyn,8128,16,-73.90766907,40.64770126
3231607,1396,EAST 92 STREET,11236,318,Brooklyn,8237,67,-73.8996582,40.63661957
3244850,3039,BRIGHTON 4 STREET,11235,313,Brooklyn,8674,86,-73.96338654,40.57830811
3245071,312,BRIGHTON BEACH AVENUE,11235,313,Brooklyn,8686,58,-73.96369934,40.57683945
3245425,105,BRIGHTON 11 STREET,11235,313,Brooklyn,8709,95,-73.9573288,40.5800209
3248018,97,NEPTUNE AVENUE,11235,313,Brooklyn,8812,121,-73.95761108,40.5826683
3256647,644,NEW YORK AVENUE,11203,309,Brooklyn,4814,7502,-73.94780731,40.65850067
3259609,1186,NOSTRAND AVENUE,11225,309,Brooklyn,5044,42,-73.95068359,40.6585083
3321245,642,DRIGGS AVENUE,11211,301,Brooklyn,2352,25,-73.95881653,40.71504974
3321349,405,BROADWAY,11211,301,Brooklyn,2464,33,-73.95366669,40.70721817
3321454,177,HURON STREET,11222,301,Brooklyn,2523,57,-73.95411682,40.7333107
3321738,2828,STILLWELL AVENUE,11224,313,Brooklyn,7023,17,-73.98220825,40.57844162
3324579,99,ALBANY AVENUE,11213,308,Brooklyn,1334,175,-73.93847656,40.67734909
3324999,986,GREENE AVENUE,11221,303,Brooklyn,1622,34,-73.92830658,40.6907692
3325864,129,GRAHAM AVENUE,11206,301,Brooklyn,3070,20,-73.94328308,40.70635986
3326557,390,CHESTER STREET,11212,316,Brooklyn,3588,1,-73.91005707,40.66141129
3327323,1310,FLATBUSH AVENUE,11210,314,Brooklyn,5225,37,-73.95359039,40.63806152
3327450,5709,  13 AVENUE,11219,312,Brooklyn,5698,6,-73.99680328,40.63011932
3327808,1466,CONEY ISLAND AVENUE,11230,312,Brooklyn,6536,13,-73.96494293,40.62163162
3327943,182,GRAHAM AVENUE,11206,301,Brooklyn,3053,8,-73.94299316,40.70798111
3327990,791,FLUSHING AVENUE,11206,301,Brooklyn,3127,32,-73.94116974,40.70119095
3328472,105,  16 STREET,11215,307,Brooklyn,1046,56,-73.99289703,40.6667099
3331870,1035,RUTLAND ROAD,11212,317,Brooklyn,4598,57,-73.92550659,40.66355133
3336214,800,ROGERS AVENUE,11226,317,Brooklyn,5090,49,-73.95282745,40.65122986
3338008,509,HANCOCK STREET,11233,303,Brooklyn,1655,1,-73.93505859,40.68437958
3338457,159,SUYDAM STREET,11221,304,Brooklyn,3208,52,-73.92668152,40.69945908
3340322,1007,EAST   86 STREET,11236,318,Brooklyn,8038,7501,-73.90635681,40.63655853
3340324,1003,EAST   86 STREET,11236,318,Brooklyn,8038,7501,-73.90635681,40.63655853
3340424,911,EAST   76 STREET,11236,318,Brooklyn,8013,7501,-73.9152832,40.63317108
3340425,919,EAST   76 STREET,11236,318,Brooklyn,8013,7501,-73.9152832,40.63317108
3341494,8602,AVENUE L,11236,318,Brooklyn,8065,7501,-73.90284729,40.63346863
3341990,272,DIVISION AVENUE,11211,301,Brooklyn,2201,32,-73.95527649,40.70684052
3342269,120,GROVE STREET,11221,304,Brooklyn,3323,17,-73.92017365,40.69345093
3342410,290,SUMPTER STREET,11233,316,Brooklyn,1527,23,-73.91264343,40.68059921
3344586,1499,EAST   46 STREET,11234,318,Brooklyn,7826,20,-73.93102264,40.62432098
